Sample,Animal,LPS,Drug
Sample_01,A,no_LPS,ctrl
Sample_02,A,no_LPS,epi
Sample_03,A,no_LPS,acla
Sample_04,A,LPS,ctrl
Sample_05,A,LPS,epi
Sample_06,A,LPS,acla
Sample_07,B,no_LPS,ctrl
Sample_08,B,no_LPS,epi
Sample_09,B,no_LPS,acla
Sample_10,B,LPS,ctrl
Sample_11,B,LPS,epi
Sample_12,B,LPS,acla
Sample_13,C,no_LPS,ctrl
Sample_14,C,no_LPS,epi
Sample_15,C,no_LPS,acla
Sample_16,C,LPS,ctrl
Sample_17,C,LPS,epi
Sample_18,C,LPS,acla
Sample_19,D,no_LPS,ctrl
Sample_20,D,no_LPS,epi
Sample_21,D,no_LPS,acla
Sample_22,D,LPS,ctrl
Sample_23,D,LPS,epi
Sample_24,D,LPS,acla
